_id,DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
542298.0,2020-01-11T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,124,8,67,63
546120.0,2020-01-11T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,15,70,40
548223.0,2020-01-11T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,102,12,52,23
549237.0,2020-01-11T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,30,56,16
552047.0,2020-01-11T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,92,14,61,20
554741.0,2020-01-11T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,96,10,53,28
555702.0,2020-01-11T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,6,59,81
557957.0,2020-01-11T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,133,7,53,153
560515.0,2020-01-11T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,7,51,245
562251.0,2020-01-11T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,123,7,49,204
565572.0,2020-01-11T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,129,6,48,193
568110.0,2020-01-11T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,6,49,161
569075.0,2020-01-11T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,7,49,166
571307.0,2020-01-11T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,7,54,178
574109.0,2020-01-11T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,6,48,165
577241.0,2020-01-11T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,6,46,135
579303.0,2020-01-11T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,7,55,161
581544.0,2020-01-11T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,7,53,122
584959.0,2020-01-11T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,131,6,52,120
585745.0,2020-01-11T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,118,7,59,107
587561.0,2020-01-11T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,7,61,87
590057.0,2020-01-11T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,135,7,58,96
591905.0,2020-01-11T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,6,58,74
594464.0,2020-01-11T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,9,62,72
596967.0,2020-01-12T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,116,7,66,62
599458.0,2020-01-12T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,174,18,57,29
602300.0,2020-01-12T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,126,14,71,24
603569.0,2020-01-12T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,102,7,57,15
605499.0,2020-01-12T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,101,35,68,17
608343.0,2020-01-12T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,24,64,27
610178.0,2020-01-12T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,6,61,36
612100.0,2020-01-12T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,14,69,38
614270.0,2020-01-12T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,6,58,44
616421.0,2020-01-12T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,12,63,58
620414.0,2020-01-12T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,7,62,48
621339.0,2020-01-12T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,118,6,62,64
